Source IP,Destination IP,Source Port,Destination Port,Protocol
198.128.17.57,10.0.2.15,55616,80,6
198.128.17.57,10.0.2.15,54556,80,6
198.128.17.57,10.0.2.15,20838,80,6
198.128.17.57,10.0.2.15,12571,80,6
198.128.17.57,10.0.2.15,48684,80,6
198.128.17.57,10.0.2.15,189,80,6
198.128.17.57,10.0.2.15,51767,80,6
198.128.17.57,10.0.2.15,5098,80,6
198.128.17.57,10.0.2.15,18844,80,6
